,Rank,Company,City,Country,Funding,Industry,Employees,Revenue,Emp Growth %
0,1,Anthropic,San Francisco,USA,$4.51B,AI,573,$721.9M,323%
1,2,Figure,Silicon Valley,USA,$435M,Robotics,692,$28M,1333%
2,3,CoreWeave,New York City,USA,$1.22B,AI,343,$641M,214%
3,4,Hugging Face,New York City,USA,$400M,AI,333,$85.2M,42%
4,5,Shield AI,San Diego,USA,$930M,AI,645,$251.7M,12%
5,6,Lendbuzz,Boston,USA,$257M,Fintech,265,$233M,32%
6,7,Character.AI,Silicon Valley,USA,$193M,AI,100,$14M,217%
7,8,Writer,San Francisco,USA,$144M,AI,449,$79.8M,308%
8,9,Runway ML,New York City,USA,$237M,AI,191,$48.7M,117%
9,10,BlueOval SK,Stanton,USA,,Automotive,338,$139.4M,915%
10,11,LayerZero Labs,Vancouver,CAN,$263M,Fintech,123,$16M,73%
11,12,Cohere,Toronto,CAN,$435M,AI,607,$33.9M,177%
12,13,VAST data,New York City,USA,$341M,Analytics,748,$149.7M,52%
13,14,Lightmatter,Boston,USA,$422M,Hardware,154,$66.2M,36%
14,15,Applied Intuiti...,Silicon Valley,USA,$602M,Analytics,527,$93.7M,46%
15,16,Electric Hydrog...,Natick,USA,$603M,Environmental,349,$93.1M,63%
16,17,Island,Dallas,USA,$325M,SaaS,489,$86.9M,47%
17,18,Typeface,San Francisco,USA,$206M,AI,111,$15.5M,203%
18,19,Bilt Rewards,New York City,USA,$413M,Fintech,169,$38.2M,73%
19,20,Lyten,Silicon Valley,USA,$410M,Environmental,300,$69.3M,19%
20,21,Pinecone,Silicon Valley,USA,$138M,AI,177,$26.6M,160%
21,22,SageSure,New York City,USA,$250M,Insurance,688,$189.2M,21%
22,23,Replit,San Francisco,USA,$272M,DevOps,186,$28M,40%
23,24,Presight.ai,Abu Dhabi,United Arab Emirates,,AI,210,$31.6M,23%
24,25,Ultium Cells,Warren,USA,$5B,Automotive,942,$435.2M,81%
25,26,Inworld AI,Silicon Valley,USA,$117M,AI,113,$15.8M,57%
26,27,BitGo,Silicon Valley,USA,$170M,Fintech,433,$71.5M,106%
27,28,Imbue,Silicon Valley,USA,$232M,AI,72,$1.6M,76%
28,29,Quantinuum,Denver,USA,$625M,Fintech,428,$70.7M,1%
29,30,Pryon,Raleigh Durham,USA,$141M,AI,161,$24.2M,139%
30,31,KoBold Metals,East Bay,USA,$392M,Mining,174,$45.8M,55%
31,32,Together AI,San Francisco,USA,$228M,AI,71,$8.6M,224%
32,33,Temporal Techno...,Seattle,USA,$204M,DevOps,221,$33.3M,48%
33,34,Adept,San Francisco,USA,$415M,AI,79,$11.1M,88%
34,35,ElevenLabs,New York City,USA,$101M,AI,90,$12.6M,207%
35,36,SkyWater Techno...,Minneapolis,USA,,Semiconductors,491,$168.8M,11%
36,37,MaintainX,San Francisco,USA,$104M,Tech Services,390,$71.8M,117%
37,38,Glean,Silicon Valley,USA,$360M,HRTech,422,$75M,74%
38,39,Synthesia,London,UK,$157M,AI,353,$62.8M,99%
39,40,Wormhole,George Town,Cayman Islands,$225M,Fintech,50,$12.3M,150%
40,41,Intenseye,New York City,USA,$94.4M,Analytics,124,$17.4M,28%
41,42,Zip,San Francisco,USA,$181M,Fintech,524,$86.5M,15%
42,43,Unlearn.AI,San Francisco,USA,$135M,AI,92,$12.9M,24%
43,44,Vestwell,New York City,USA,$289M,Fintech,394,$65M,26%
44,45,Upwind,Tel Aviv,Israel,$80M,IT Security,113,$23.1M,248%
45,46,MadHive,New York City,USA,$307M,Adtech,279,$48M,17%
46,47,Lambda,San Francisco,USA,$383M,Hardware,332,$168.7M,51%
47,48,EmployerDirect ...,Dallas,USA,$92M,Hospital/Healt...,306,$104.9M,38%
48,49,Apkudo,Baltimore,USA,$75M,Wireless,211,$79.4M,23%
49,50,Skydio,Silicon Valley,USA,$570M,Aviation,675,$210.9M,21%
50,51,EvenUp,San Francisco,USA,$65M,LegalTech,316,$56.2M,145%
51,52,Monument,London,UK,$202M,Finance,99,$20.8M,11%
52,53,1KOMMA5Â°,Hamburg,Ger,$689M,Energy,436,$600M,163%
53,54,QI Tech,Sao Paulo,Brazil,$250M,Finance,142,$16M,78%
54,55,Linear App,San Francisco,USA,$52.2M,DevOps,82,$11.5M,77%
55,56,UVEye,New York City,USA,$200M,IT Security,218,$47.8M,18%
56,57,GrubMarket,San Francisco,USA,$767M,eCommerceTech,149,$22.4M,9%
57,58,MangoBoost,Seattle,USA,$65.5M,DevOps,61,$7.4M,66%
58,59,Volt,Amsterdam,Netherlands,$2.31M,Fintech,245,$34.2M,62%
59,60,AI 21,Tel Aviv,Israel,$336M,AI,280,$42.1M,47%
60,61,Liquid Death Mo...,Los Angeles,USA,$264M,Food,323,$110.8M,32%
61,62,Bending Spoons,Milan,USA,$525M,Tech Services,466,$85.8M,15%
62,63,Enable,San Francisco,CAN,$274M,Tech Services,763,$158.2M,35%
63,64,Tome,San Francisco,USA,$81M,AI,85,$11.9M,50%
64,65,Helsing,Munich,Germany,$450M,AI,249,$37.5M,33%
65,66,Captions,New York City,USA,$40M,AI,74,$9M,43%
66,67,Quantexa,London,UK,$371M,Fintech,738,$137.2M,14%
67,68,Keyfactor,Cleveland,USA,$218M,Tech Services,457,$84.2M,7%
68,69,Monad Labs,New York City,USA,$225M,Software,35,$4.3M,57%
69,70,Raspberry Pi,Cambridge,UK,$45M,AI,137,$19.2M,35%
